% Model,TWA_96MHz_flat_centerfed_plasma_withcaps_capfeed.mph
% Version,COMSOL 6.2.0.339
% Date,"May 30 2024, 18:08"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S12 (1),S22 (1),S32 (1)
96,0.5907385476716319+0.32155841381292144i,-0.24763348534861693-0.1637020005929571i,0.5880300529247371+0.32480936835310437i
97,0.6404905859198035+0.19022798648826478i,-0.3109025126589733-0.0570586279490263i,0.6391196017202397+0.19421969426482666i
98,0.6604830796015723+0.054394292081304925i,-0.33149828339204607+0.06153714316241477i,0.6606657291235588+0.05837926863619259i
99,0.652334236802205-0.07966419801912823i,-0.3097780762140403+0.1774848442395152i,0.6536769794815559-0.0764443607945126i
100,0.6183899589098428-0.20717369166424826i,-0.25015726940348715+0.27801921948695796i,0.6201486962388618-0.20486715580694084i
101,0.5609928438766951-0.32426236209266107i,-0.16003808687390136+0.3527431081876004i,0.5627929656662938-0.3225239948132668i
102,0.48260424734711876-0.42741696836410625i,-0.04906354610397132+0.39385565139491246i,0.4844780552760011-0.42598986817138756i
103,0.38597502183496457-0.5134489622585355i,0.07138221962051837+0.39638777370634837i,0.38803064990724717-0.5123034287616758i
104,0.2741557406217854-0.5794795528837523i,0.1886326131115272+0.3585877598704062i,0.27642446052912034-0.5786996292365287i
105,0.1505513892774824-0.6229106138707968i,0.2893643114412609+0.28243790161013976i,0.15297598489431025-0.6225951473918857i
106,0.018991028395848458-0.6414587523239407i,0.36053903873883486+0.17417124114938617i,0.021454771514749265-0.641670753929462i
107,-0.11623640767755046-0.6332172013065163i,0.3907120082386966+0.04459779363254969i,-0.11387544093478041-0.6339630900806593i
108,-0.2503548426184692-0.5966862586597211i,0.3716665007925102-0.09093837128527821i,-0.24823049964451274-0.5979117409065637i
109,-0.3779872445887134-0.5307597730231685i,0.3003121809243662-0.2131058331453017i,-0.37619166095034556-0.5323582005725944i
110,-0.4928278371955904-0.4347676884031452i,0.18085161545809703-0.2998021663516449i,-0.4913738214592304-0.4366051045449141i
111,-0.5870371828488562-0.30885077263849864i,0.027261153431069732-0.32847324602104183i,-0.5858147362183574-0.3108275869409833i
112,-0.6505683005710201-0.1551230398853007i,-0.13423835931619957-0.28053898855008785i,-0.6493196748086066-0.15733225252169142i
113,-0.6712028838619399+0.019990427352664875i,-0.2645034540437525-0.14931207089870357i,-0.6697159250423901+0.016885934355527998i
114,-0.6366254013649478+0.20250107671495468i,-0.317065963492864+0.04883259595227078i,-0.636037724437092+0.19708009196148887i
115,-0.5409532446098981+0.36794656578117063i,-0.2552615234816771+0.26647348928521053i,-0.5448117225828982+0.3616882973409117i
116,-0.3963854207890375+0.4888095173873495i,-0.07731175667805987+0.43405353711052924i,-0.40324670334203255+0.48638547454442593i
117,-0.2284504861360098+0.5508821205236264i,0.17160376189268167+0.4914094981959233i,-0.23472909594340027+0.5521303504057159i
118,-0.06411954831260992+0.5563239738803157i,0.41917180351677985+0.41976728133246693i,-0.06864223328747228+0.5596774334850697i
119,0.07908107198270167+0.5206905294413124i,0.6021956277094161+0.2441545572682691i,0.07646772054362003+0.5250881590900331i
120,0.19875327544625784+0.46214249010723724i,0.6853410899442576+0.00962095901801571i,0.19800358979875887+0.4669784323455756i
121,0.30516383005978576+0.39133472851078765i,0.6524201361890252-0.24023254732742805i,0.3063985556888952+0.3962455558153671i
122,0.4175645701062888+0.30252326022917186i,0.4817915699221861-0.461213634413361i,0.42147712362196116+0.3070104506436486i
123,0.5549759316336557+0.14841067923146725i,0.1223205734790056-0.5494488063794859i,0.5636447233500044+0.1500351020420944i
124,0.6201217356840657-0.20616920760394583i,-0.32347360165969574-0.12919019552432937i,0.6273662305537487-0.22514467614267272i
125,0.21064533003237912-0.5104374332786967i,0.19659996735834925+0.59052457653618i,0.20485179028618264-0.5018647679065739i
126,-0.07194668367751053-0.3036947865676932i,0.8456804897953338+0.26308797821834085i,-0.07018846093980262-0.30195382706113416i
127,-0.0957920246155045-0.14774179163778425i,0.9436590575353535-0.15576672511474735i,-0.09482406189866897-0.14779079111992108i
128,-0.07619525290411697-0.0753355876280114i,0.8801619840839908-0.42390551460058234i,-0.07577313770478687-0.0756241318096883i
129,-0.05632100193834086-0.04049799038135237i,0.7822021774454608-0.5975170238440887i,-0.056146575824193974-0.040757785342997246i
130,-0.041252467498437445-0.022523848947237832i,0.6800257481410429-0.7161455486299219i,-0.041188811599265476-0.022720531020314367i
131,-0.03039394918169908-0.012727237556916666i,0.5815507500254924-0.8003325418597043i,-0.03038010448044631-0.012869578921828962i
132,-0.022610747709369387-0.007177576493777952i,0.48889778639920245-0.8613227179016131i,-0.022618717895182543-0.007279296028573043i
133,-0.016993536701246592-0.003952436505653507i,0.4024608703443548-0.9058054182408843i,-0.01701016001499476-0.00402502886580292i
134,-0.012898074129660342-0.0020503571264478835i,0.3220700429367335-0.9380657828372316i,-0.012917132479292631-0.002102314683015149i
