% Model,TWA_Ragonal_like_plasma_for_Sij_centerfed_13strap_with2passive.mph
% Version,COMSOL 6.2.0.339
% Date,"Aug 29 2024, 11:27"
% Table,Table 19 - Global Matrix Evaluation 1
% freq (MHz),De-embedded S-parameter (1),,,,,,,,,,,,,,,
,-0.009788303274440057-0.034712050482287427i,-8.758434028181537E-6-7.799959583641114E-6i,-9.914359656303841E-5-7.119138454166185E-5i,-3.392232355191361E-7-1.4419203514463015E-5i,-5.594899030417403E-7-3.760230058277551E-5i,-1.6691376831833495E-5-1.245584445050238E-4i,-1.0674541569450629E-4-4.1698976761979514E-4i,-6.884785065162968E-4-0.0016854969679584667i,-0.002263237581356512-0.01223710149318133i,0.05443582359032893-0.10144561186981776i,0.8736623945794398+0.45523424112325717i,0.05814385100018026-0.11467265020578i,-0.0030861215330315744-0.012970664761257073i,-7.366963211812298E-4-0.001670911077728006i,-8.056492344411017E-5-3.3938439974123027E-4i,1.2559726105448523E-5-1.3964903958206453E-4i
,-0.0030282303461442233-0.0021190434315350656i,-2.9524231065069726E-6-2.5912014433531836E-6i,-4.6683510586291324E-4-2.4778072394004443E-4i,-2.402952673254721E-7-4.855694744707964E-6i,-5.697813752200258E-7-1.2555333076682025E-5i,-4.225024962386788E-6-4.018302656133384E-5i,-1.976297178252365E-5-1.2109449780740961E-4i,-8.242873521517858E-5-3.81027306401014E-4i,-5.11981187048176E-4-0.0017047131332181928i,-0.0024123864021330247-0.011515103177018194i,0.05730029086055884-0.11263011444474501i,0.8754984129515729+0.45518653908785467i,0.05725976595285804-0.11349802786670306i,-0.0028983832044899337-0.012686140942001024i,-5.515452160226847E-4-0.0015637301977377397i,-2.0890377543094374E-6-4.43243079987875E-4i
,-4.6649939571657826E-4-2.47543769026822E-4i,-1.0127564848934037E-6-8.688648788870853E-7i,-0.003028720094542381-0.0021192313628176952i,-9.188162593723514E-8-1.6576071750436196E-6i,-2.3765808637935452E-7-4.221726003572454E-6i,-1.2252291265702507E-6-1.349589010910093E-5i,-3.908158019735275E-6-3.9668042327003685E-5i,-9.386142465926075E-6-1.2188177931855566E-4i,-6.0761500851186544E-5-4.169294270208243E-4i,-5.165391762764159E-4-0.0015562799081902956i,-0.0028150550104303167-0.012683548374905531i,0.05730891773218111-0.11326083511763972i,0.8727822447813921+0.4553136525537048i,0.057215480646841316-0.1129802350647893i,-0.0021852723780265205-0.011508257580677002i,-3.9440784902486766E-4-0.0017326791973228456i
,-9.902445231526722E-5-7.117821717346553E-5i,-3.499154824900095E-7-2.921345712449764E-7i,-0.009794685100837178-0.03470444503639155i,-3.566969643650976E-8-5.698689866030226E-7i,-8.88072840143655E-8-1.4367353943247615E-6i,-4.1713449401719654E-7-4.593903019425759E-6i,-1.1142347957564574E-6-1.3468859847983481E-5i,-2.437272997208042E-6-4.094162303823336E-5i,-1.0338294994801068E-5-1.2754643941286832E-4i,-5.9492309777263275E-5-3.733408921658344E-4i,-6.119227059826067E-4-0.0017285956848741527i,-0.002737134809878729-0.012678105074965952i,0.05740944262851342-0.11322440052705518i,0.8733766469521987+0.45639831026458505i,0.054988462710370244-0.10028164567442643i,-0.0021213468165962295-0.01238357336167754i
,-2.4948542468483703E-5-2.201223401737472E-5i,-1.0940304384717299E-7-9.38383129879737E-8i,0.4768754457430533-0.2685086042218454i,-7.095262919877436E-9-1.7802988378218917E-7i,-1.6213677860763353E-8-4.4549463283982287E-7i,-9.384215280974753E-8-1.425634007482021E-6i,-2.3256112363573323E-7-4.170128023670994E-6i,-4.838216548406926E-7-1.2478674523217037E-5i,-1.3464482106511012E-6-3.742748498386105E-5i,-5.0552675333798184E-6-1.0363737323471584E-4i,-5.977041128313515E-5-3.7573509976533996E-4i,-4.817454632968826E-4-0.0016071127927309472i,-0.0021682308398810715-0.011542628944604269i,0.0550909446346881-0.1004192827793654i,0.6759045662345078+0.46703087194380905i,0.05527307458554241-0.10278363339247329i
,-9.139837689608057E-6-8.416636403279996E-6i,-4.3597389989759426E-8-3.611551200245415E-8i,-0.010256908066899826-0.03525592160223064i,-3.8353307816753675E-9-7.112353351590913E-8i,-8.3398146499101E-9-1.7823204066909162E-7i,-4.3707051808228775E-8-5.672886629053163E-7i,-1.0997393314834096E-7-1.65412507531475E-6i,-2.3691937743221328E-7-4.880848445097591E-6i,-4.5482251876123573E-7-1.4440641820681856E-5i,-1.1366352207066352E-6-3.904213409247692E-5i,-1.00721832311346E-5-1.3281406360007446E-4i,-6.680111467612354E-5-4.480807760722169E-4i,-5.098222040337116E-4-0.0018437261007692915i,-0.002042002322498754-0.012650961875818933i,0.055080186090331454-0.10267440084520513i,0.8917714970046446+0.4359857394721609i
% Model,TWA_Ragonal_like_plasma_for_Sij_centerfed_13strap_with2passive.mph
% Version,COMSOL 6.2.0.339
% Date,"Aug 29 2024, 11:36"
% Table,Table 19 - Global Matrix Evaluation 1
