% Model,TWA_96MHz_flat_compare_plasma_withcaps_topfed_withPML.mph
% Version,COMSOL 6.2.0.339
% Date,"May 2 2024, 16:56"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S11 (1),S21 (1)
92,0.2735529893167643+0.22130495162737218i,0.21313106330110645-0.24451435621901435i
93,0.2966838629141361+0.1882580929960568i,0.13881200151893186-0.297155221356254i
94,0.3102782519855934+0.1464989342612139i,0.053032123133437734-0.3278925052400373i
95,0.31115003208389685+0.10169417261161275i,-0.03893562072807715-0.33495811171207884i
96,0.2990022266729129+0.060364733393190345i,-0.1316937364397613-0.31687201870873605i
97,0.2766493062073063+0.028728259389834903i,-0.2188846940772892-0.27260449414184335i
98,0.2499370105900758+0.011275746353186926i,-0.29263470258792695-0.20254846176620575i
99,0.22690445515236826+0.00908419413150946i,-0.3438845381242364-0.11007596250975456i
100,0.21569852429287467+0.01847253465159766i,-0.36411870256708373-0.0029167758173447686i
101,0.22144446640507803+0.031191796381705286i,-0.348266740076987+0.1069177716120442i
102,0.24354608247405649+0.03699389813288741i,-0.2972752939123834+0.20554912046172932i
103,0.2753967770783754+0.02773325093378057i,-0.21835320281140577+0.28114346447739186i
104,0.3070110510645123+6.09373084264007E-4i,-0.12239554608348659+0.3269127201558432i
105,0.3288692656288596-0.04122988238538976i,-0.020365632768762017+0.34141189695366025i
106,0.33480602830102735-0.09035319871247642i,0.07905034106090247+0.32654988398574386i
107,0.32322692304588485-0.13739921185321477i,0.16958774363936147+0.2850951221387349i
108,0.29733464439903284-0.17312333760865026i,0.24585119809965916+0.2192153758939345i
109,0.2651540887423481-0.19039478572553764i,0.3011352910795005+0.13089954176093366i
110,0.23895203454523792-0.1871001665673259i,0.3261268171407387+0.024644842267468055i
111,0.23203740202607706-0.16982156212371752i,0.31086568520982805-0.0883812855645072i
112,0.2511991375822848-0.15465754754586675i,0.25161906513062826-0.18879508238904094i
113,0.28918715886068597-0.15971981085184683i,0.15814580085913632-0.2556868662799517i
114,0.3272303641254384-0.19244233081650713i,0.051331597516632584-0.27844420791463415i
115,0.347645125272361-0.24482428532240164i,-0.04872747715297244-0.2605911836835939i
116,0.34353213164594043-0.3003010327139771i,-0.13073666980143328-0.21207831960748222i
117,0.3198072213801604-0.34253672598604656i,-0.189609523442702-0.14071635811732944i
118,0.291196954995363-0.36120322681336514i,-0.21874639969352347-0.05136473914136119i
119,0.27886275011766004-0.3592062002767217i,-0.2062062557145324+0.04543965744661444i
120,0.29607364256647567-0.35928360667552134i,-0.1462472867859389+0.12335211425966194i
121,0.3277398201164978-0.3874223564848379i,-0.059859691374574794+0.1538347501994088i
122,0.34435171319855085-0.4410772517550079i,0.017320096161563+0.1359706122795746i
123,0.3371729118648046-0.4962782274926665i,0.06566020984693804+0.08948161618117316i
124,0.32149176472657964-0.5383666091112576i,0.0792931754700873+0.03351451276008034i
125,0.31308662705949764-0.5774340805038811i,0.06004068616465309-0.009501075950580168i
126,0.30240773229404777-0.6284279908999173i,0.030254505827485123-0.023618049264988415i
127,0.27573992793196284-0.6827894407440483i,0.011040553038919251-0.019966118861319142i
128,0.23669274287552058-0.7288440795216357i,0.00267524333965023-0.013241552925142022i
129,0.19266562057032063-0.7644079572424974i,-2.936123799406694E-4-0.008173357314725852i
130,0.14786274456453274-0.7912267616988465i,-0.0011272673414264702-0.004970310676237331i
131,0.10409079494566431-0.8113587055110871i,-0.001202226380572529-0.003037298878946378i
132,0.06203951972927426-0.826398724578364i,-0.001042732861867289-0.0018772244903359158i
133,0.021927246313801822-0.8374936279664165i,-8.382036430404867E-4-0.001175107854564285i
134,-0.016224130847554485-0.8454689301160606i,-6.5140383383352E-4-7.44588264940989E-4i
135,-0.05247386714436697-0.8509319294813728i,-4.98326460050118E-4-4.7689882414665913E-4i
136,-0.08691298874419341-0.8543410507016965i,-3.786150155343149E-4-3.0821382325277476E-4i
137,-0.1196426158598881-0.8560508628778156i,-2.8705150998066737E-4-2.006106732327125E-4i
138,-0.15076433450246896-0.8563415139090127i,-2.1774515740114676E-4-1.3122354348302773E-4i
139,-0.18037598846624153-0.8554383906420262i,-1.655065323283532E-4-8.605753561389379E-5i
140,-0.20856997527481336-0.8535255920604573i,-1.261600349099768E-4-5.642356667150953E-5i
