% Model,TWA_96MHz_flat_centerfed_passive_dg_plasma_withcaps.mph
% Version,COMSOL 6.2.0.339
% Date,"May 29 2024, 11:07"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S12 (1),S22 (1),S32 (1)
92,0.11041903857289663+0.6470453120410573i,0.18717520330203155-0.3052390929699945i,0.10972680638392529+0.6446350806684651i
93,0.24943044118636343+0.612486993363264i,0.034459577816626216-0.3406208954174948i,0.24780596721630468+0.6102400511772827i
94,0.3760949088273536+0.5462630204310275i,-0.11441405403985792-0.31784045216483814i,0.37347264251910395+0.5445965589737602i
95,0.4830069771763741+0.45358265910207085i,-0.23881968335054024-0.24519248543044533i,0.47952796157668937+0.45308645784153045i
96,0.565242847913452+0.34104525042311673i,-0.3243976792598321-0.13709754573764485i,0.5615208945559282+0.34239211863310315i
97,0.6201181978387073+0.21560093615952813i,-0.3638685918597524-0.01047264815027931i,0.617509140960778+0.2190045458648702i
98,0.6469738140862423+0.08406152656224286i,-0.35622236321016465+0.1180408465099893i,0.6468928583512369+0.08829471010221937i
99,0.6470167701017443-0.04786023408481i,-0.3053179844116251+0.23366718950972154i,0.6491653564189563-0.04484032143058796i
100,0.6217625737122744-0.17611671043011487i,-0.2186104292207534+0.3242033432283775i,0.6245411902623154-0.17504955070246428i
101,0.5721904947244024-0.2969537272571913i,-0.10624691513103345+0.38033811490966796i,0.5744626751533581-0.29733163074945135i
102,0.4995436785096985-0.4062100247931232i,0.019567142268844973+0.3959516417357565i,0.5009280482918516-0.40730350001059556i
103,0.4058372203996491-0.4995762580348098i,0.14517015362352365+0.3685505638553492i,0.40635474326145704-0.5008228943620838i
104,0.293987218695494-0.5728921888674123i,0.25625168112184626+0.29979195417389437i,0.29382346659019687-0.5739195492591839i
105,0.16782647781638824-0.622418277707876i,0.3389960724736084+0.19590533809871724i,0.16723207004091653-0.623001324800291i
106,0.032003346529110986-0.6450920745493094i,0.3815345802567565+0.06778119760916397i,0.03125577841589707-0.6451208999076202i
107,-0.10822685036905458-0.6386812445486874i,0.37554196212618973-0.069431121281753i,-0.10883857992557747-0.6381460136908642i
108,-0.24720593707448635-0.6017527240174425i,0.3177888715449943-0.19722692473550277i,-0.24738820585956411-0.6007446505245126i
109,-0.37888132548839043-0.5334807882529983i,0.21159403467644822-0.2950708445054996i,-0.37834194719313646-0.5322144578134107i
110,-0.4964236494222906-0.43349324653027893i,0.0683300777732836-0.3422029031922223i,-0.49489363162459643-0.4323682860121288i
111,-0.5913889627876507-0.3021797918076538i,-0.09085769996522658-0.3204838345355521i,-0.588723053852007-0.3019167822680302i
112,-0.6527113481143452-0.14210170969013694i,-0.23369959234607346-0.21953651186824633i,-0.6493133195110206-0.14394088824053122i
113,-0.6665786257308155+0.038699089333586977i,-0.31846074357496673-0.045366883844969355i,-0.664746124861592+0.03352134518826573i
114,-0.6208565061918062+0.2214464173912555i,-0.3038969513648608+0.16963478209848215i,-0.6244155111759562+0.21592571890246284i
115,-0.5168070152680655+0.3798576945209589i,-0.17051234698493786+0.3651514282150825i,-0.5225746227570476+0.37919305905246303i
116,-0.36878987011950226+0.4919265338901565i,0.0578327536442337+0.47285946333242557i,-0.3725613737661913+0.4943426238726648i
117,-0.2018408150337621+0.5454160099036016i,0.3164691093249291+0.45235389466457226i,-0.2034034229687542+0.5485082490368733i
118,-0.041823083942496994+0.5458698930967649i,0.5324310738660621+0.3111783018226065i,-0.04189727750701953+0.5486593829827253i
119,0.09825932935784375+0.5104577087702764i,0.6560035826519708+0.09063142345211762i,0.0990884136524237+0.5126868146418186i
120,0.22148472433452426+0.4551481227915457i,0.6638997983670181-0.1612752770265037i,0.22290352621364518+0.4568178404763932i
121,0.3442193042199619+0.3836908791964202i,0.5380044336871666-0.3995948827502028i,0.3461868083836971+0.3848196927143158i
122,0.4919750700771939+0.26836519109641865i,0.2356069610685942-0.5473022223795112i,0.49481872781868946+0.2686639833071397i
123,0.6405579853747724-0.01003970435019667i,-0.24527770590161832-0.3243499843417712i,0.6446229002372723-0.01339373083533242i
124,0.4090444838341612-0.4442196771242875i,-0.08132651748361622+0.5065703046479708i,0.4049381142410742-0.44477196170794087i
125,0.009766375665530836-0.3635534621459742i,0.7312224331160536+0.42634368186382154i,0.009184816689561986-0.363068269118474i
126,-0.07401700194595943-0.18777231480407264i,0.9466566919558901-0.02510672505046466i,-0.07419777401268023-0.18761036706341291i
127,-0.06965762536729907-0.09782962449554886i,0.9163305624026775-0.3317621787728995i,-0.06975278443565068-0.09775503643216484i
128,-0.054199998213243075-0.05376411232496132i,0.8296818696357937-0.5286891410508603i,-0.05425751633264452-0.05371933236709839i
129,-0.04061062613307925-0.030815798118960118i,0.7328998683651539-0.6620296984640949i,-0.04064681251262026-0.030785200930081767i
130,-0.03028694040563559-0.018163918368232466i,0.6379578002853635-0.7564394380109932i,-0.030310151896789768-0.01814184749620198i
131,-0.022696449691840113-0.010880588414936674i,0.5481569999279993-0.8251947544042172i,-0.022711520404864065-0.010864255505484338i
132,-0.017139209523130878-0.00655356912229445i,0.4642712675120024-0.8760172936159484i,-0.017149086741823912-0.006541320358397726i
133,-0.013051216541737494-0.003924690503098783i,0.38625726289665385-0.9137470365386874i,-0.013057738792049647-0.003915426618680994i
134,-0.010020708587111295-0.0023033448075421943i,0.3137979057523073-0.9416099911955664i,-0.01002504060103529-0.0022962926960335838i
135,-0.007754869552957576-0.0012948021460282761i,0.24649339533168474-0.9618626795143506i,-0.007757758437930086-0.0012894029855643745i
136,-0.006046257485314976-6.660699209729634E-4i,0.18393314003294936-0.9761436777333152i,-0.006048187725097098-6.61914017252849E-4i
