% Model,TWA_96MHz_flat_centerfed_plasma_withcaps.mph
% Version,COMSOL 6.2.0.339
% Date,"May 23 2024, 10:56"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S12 (1),S22 (1),S32 (1)
84,-0.6192168430515134+0.0052962349673064514i,-0.28154230705370403+0.384053285285529i,-0.617737726067812+0.00597599007127022i
85,-0.5952858327258846+0.14644254453920175i,-0.11197863552735579+0.47690040188492827i,-0.5940598088166726+0.14565144963269627i
86,-0.5484745721529651+0.27064976704965826i,0.057905330776278234+0.48751988028158877i,-0.5480663341718798+0.269206142191955i
87,-0.4829318813483239+0.3807795508196512i,0.2055333464271665+0.4339506127233241i,-0.4833955741661842+0.37922746822804115i
88,-0.3992306690564565+0.4771513500649298i,0.3166007971529877+0.33292615053177954i,-0.4004823138321378+0.4758826460052013i
89,-0.2973341012211195+0.5573054861168093i,0.3813176105780064+0.20117674791076348i,-0.29920110533669947+0.5566431094163482i
90,-0.17849053124199793+0.6167504952963969i,0.39415104143331753+0.056696855590831034i,-0.1806991643060417+0.6169602135146984i
91,-0.04633985300505642+0.6502697136671834i,0.3550764414712488-0.08146904894445618i,-0.048501692124304906+0.6515270252222927i
92,0.09285028210137475+0.6535251479280972i,0.2706847820253725-0.19512114733082123i,0.09122996424362644+0.6558546084458972i
93,0.230886587852613+0.6245058191683507i,0.153915002275073-0.26977893758267946i,0.2303654560726098+0.6277065642828226i
94,0.35904710976028786+0.564304133049397i,0.022008104814587804-0.2972493870309468i,0.3601556517905671+0.5678723953892818i
95,0.4696204357090625+0.4769620328187743i,-0.10669245856603762-0.27672982321220096i,0.4726992780479007+0.4800228603497905i
96,0.5570300286254+0.3685521911138288i,-0.21588601113397754-0.21410712758719072i,0.5619326029506226+0.36985090704353896i
97,0.6182758707174706+0.2458924633734081i,-0.29341724811968234-0.120014591135216i,0.6238747390699855+0.24405916427364763i
98,0.6526118401343817+0.11520993669668468i,-0.3320586067549422-0.007571228103399726i,0.6564300614613238+0.10980158097403825i
99,0.660189072192963-0.018682329883071055i,-0.3293097942494105+0.10948564470375567i,0.6596480830649405-0.0255697791813964i
100,0.6406367690940451-0.15125836138619272i,-0.28676162554460893+0.2180472463651947i,0.636043798656203-0.15590771485187335i
101,0.5942981227491188-0.27679907757239597i,-0.20945451566413617+0.306369244771822i,0.5886181158783135-0.27753957187876077i
102,0.523536509943275-0.38977507185883137i,-0.1054226611728106+0.3646049623781419i,0.5192348639030117-0.3875221521277462i
103,0.4316927967964082-0.4859047646485853i,0.014664566629915714+0.3853953704786265i,0.4296825608628927-0.4823179542285759i
104,0.322372669911304-0.5617240167789788i,0.13795152186722243+0.364609698832447i,0.322566301346525-0.5581842054020072i
105,0.1995379018131497-0.6142648420176942i,0.250154984596935+0.3021721530177372i,0.2013833189159704-0.6117028370454886i
106,0.0676215861366546-0.6411187002450492i,0.33673851181027087+0.20279242429167305i,0.07037930407421646-0.64006693627635i
107,-0.06852509323514056-0.6405784264509384i,0.38450815707787106+0.07634138700460476i,-0.06565946652284002-0.6412416649479723i
108,-0.20379327145812295-0.6116796019031056i,0.3834524187110005-0.062320583113321164i,-0.20163518327238272-0.6139747005466826i
109,-0.3329310102413177-0.55406818272972i,0.32861822621647885-0.19410532597199967i,-0.33227597957759375-0.5576263108014055i
110,-0.4503802362328489-0.4677802277828436i,0.22196842086944998-0.2969619806998965i,-0.45198306613834593-0.471886414665802i
111,-0.5497245092487094-0.3532110658637725i,0.07440912767768625-0.3477682181739789i,-0.5542175892757613-0.3566339346846475i
112,-0.6228204079278103-0.21180240088423458i,-0.09179719821603131-0.3255679786553179i,-0.6303783983485644-0.21243000490924538i
113,-0.6594726264376198-0.04802816765565739i,-0.24099371273946793-0.21783861485196376i,-0.6684781428139297-0.04242556100867034i
114,-0.6496635538241831+0.12839033279017248i,-0.32605526873699076-0.031318536949781775i,-0.6528167901820371+0.1427420383628973i
115,-0.5846544345075814+0.3044314813158187i,-0.3012997232284398+0.19582941051785324i,-0.5730510815021324+0.3163533270106069i
116,-0.45635088973870935+0.4527281741714602i,-0.14895739583601697+0.3942036315775263i,-0.4428582561513474+0.4510153524637134i
117,-0.28740742073788256+0.5403343352916904i,0.09748496873827012+0.4903376725381036i,-0.28081764686130367+0.5330496964373039i
118,-0.11367452762853994+0.5628917206196178i,0.36294103550056117+0.4486494865912578i,-0.11246199210385309+0.5558836003910462i
119,0.040494014507816374+0.5360615013936985i,0.57205755132019+0.28680139675117183i,0.038868265655332274+0.531040140478539i
120,0.16866140861399415+0.4811164475464853i,0.679626365611427+0.05250580670332493i,0.16590128102874635+0.47820966619643124i
121,0.28000583040011745+0.41254412117052763i,0.6663097940230734-0.20555831252403475i,0.27712692152119767+0.41146990514493054i
122,0.3946927883245389+0.3284034412067632i,0.5113548567292426-0.4420194452868645i,0.39249812502441683+0.32887555597963053i
123,0.5365388001921985+0.18667876720849566i,0.16072798693724422-0.5612078363464462i,0.5365587041098482+0.18801754442495497i
124,0.6302522793815717-0.15307458304349084i,-0.3289508793684074-0.1924715452457728i,0.6331726030394216-0.1600073332001801i
125,0.2538172218081861-0.4939369031404894i,0.11424323117932632+0.6058712366284116i,0.24851202774069875-0.4868259767937564i
126,-0.052196562268627934-0.3091071923381459i,0.8232048477195488+0.32675627457544726i,-0.05078588916224187-0.3062558895133052i
127,-0.08630358391504886-0.1522044059614849i,0.9523338854500202-0.09923195905469874i,-0.08512468646159897-0.1514228226316611i
128,-0.07054863976627851-0.07850443227247583i,0.9029542632485974-0.3750477904848438i,-0.06983705930500123-0.07831493245414324i
129,-0.05261187633256318-0.04287429372682799i,0.8140751565755263-0.5543207412333228i,-0.05218779410123688-0.04286326141592862i
