% Model,TWA_96MHz_flat_compare_plasma_withcaps_topfed_withPML.mph
% Version,COMSOL 6.2.0.339
% Date,"May 2 2024, 15:17"
% Table,Table 9 - Global Evaluation 1
% freq (MHz),S11 (1),S21 (1)
123,0.6770468427547947-0.5720514095703855i,0.28398244424119357+0.3417722104797386i
124,0.5079124098772431-0.7584401831065126i,0.31952165474236677+0.21855971642634087i
125,0.17840741838898228-0.823634863400609i,0.5158676978630387+0.11870251778378199i
126,0.763043903304073-0.2642434521647326i,-0.1927585851997568-0.5546113026900736i
127,0.5644871773494916-0.804665012650912i,-0.09815080511699213-0.0690756099099806i
128,0.42050610050741033-0.895228842010187i,-0.04207450546667221-0.019493814644106572i
129,0.3217841966595511-0.9363922679180944i,-0.021170013481912935-0.006827019991865043i
130,0.2425302921765382-0.9604311135817494i,-0.011634004479184314-0.0024118100810529377i
131,0.17453172608548606-0.9753953808811229i,-0.0067288445118854024-6.408090366327522E-4i
132,0.11423363488007192-0.9845465373366857i,-0.003997434280269852+1.1706881811631333E-4i
133,0.059751472756625075-0.9895934642231887i,-0.002386618056796404+4.4393059507457234E-4i
134,0.009938930635186529-0.99157658166822i,-0.001393658904102097+5.751151152448537E-4i
135,-0.0359708416334463-0.9911928932541233i,-7.594893273795067E-4+6.140149673880021E-4i
136,-0.0785307393764749-0.9889416260361675i,-3.420846633084727E-4+6.08611140440624E-4i
137,-0.11815966787746017-0.9851943431403591i,-6.032686721471743E-5+5.820341141810305E-4i
138,-0.15518725191694466-0.9802377619908518i,1.3389010580798779E-4+5.456502211569127E-4i
139,-0.18988341434197406-0.9742982969337287i,2.701821208826207E-4+5.054126803483549E-4i
140,-0.22247236523779038-0.9675572003309276i,3.6719758579578947E-4+4.64211789573445E-4i
