% Model,cap_for_S11.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 20 2024, 22:28"
% Table,Table 3 - Global Evaluation 3
% lcap (m),freq (MHz),S11 (1),TEM port impedance (Ω),TEM mode port characteristic impedance (Ω)
0.081,96,0.704463674517469-0.7097405755306947i,-1.1916489274793882E-5-22.455756520305112i,9.33990550136595
0.082,96,0.7014998748087213-0.7126696628471404i,-1.921794701604572E-6-22.324572143959653i,9.33990162960615
0.08299999999999999,96,0.6986776574394996-0.7154329045233704i,8.20819174544259E-5-22.201425836179556i,9.33990162960615
0.08399999999999999,96,0.6957883763958843-0.7182473197901145i,-1.0406256895994281E-5-22.07685503464917i,9.339901629606151
0.08499999999999999,96,0.6928013299681519-0.721128710506643i,-4.564562441023175E-6-21.949908924173805i,9.339901629606148
0.086,96,0.6897179548854548-0.7240782820691983i,-3.252491120266401E-6-21.820676174667504i,9.339901629606151
0.087,96,0.6867918226435475-0.7268541589554244i,3.576415215468307E-7-21.699697677263732i,9.339901629606144
0.088,96,0.6837003519327418-0.7297557623775672i,1.5307764148047334E-4-21.57373864522173i,9.339901629606148
0.089,96,0.6805499417255259-0.7327018690647875i,-3.6897989232589712E-6-21.44685598231454i,9.33990162960615
0.09,96,0.6772200340847477-0.7357817600565946i,-2.5680879801637056E-5-21.314774015028654i,9.339901629606146
0.091,96,0.6739345225935014-0.7387847160521246i,1.348211937905146E-4-21.186480778957453i,9.339901629606143
0.092,96,0.6703336408989482-0.7420612520902273i,-2.966810940595517E-5-21.047631147931497i,9.339901629606148
0.093,96,0.6664206017452599-0.7455773246259695i,-2.7546465745201405E-5-20.89929662953426i,9.339901629606151
0.094,96,0.6619740531217835-0.749528609412887i,-3.8496666287658685E-5-20.73365499172289i,9.339901629606151
0.095,96,0.6570367693950908-0.7538538853112448i,9.546998503610515E-5-20.55339313773532i,9.339901629606148
