% Model,cap_for_S11.mph
% Version,COMSOL 6.2.0.339
% Date,"Jun 20 2024, 23:31"
% Table,Table 3 - Global Evaluation 3
% f (MHz),lcap (m),freq (MHz),S11 (1),S11 (1),De-embedded S11 (1),TEM port impedance (Ω),TEM mode port characteristic impedance (Ω),Voltage standing wave ratio (1)
81,0.067,81,0.8149024314852643-0.5795934468473154i,-2.3727878696013675E-5,0.9778612929338504-0.2092410768723148i,1.3800302146366544E-4-29.27983610603688i,9.33990162960615,732125.2564958445
81,0.068,81,0.8129611281917739-0.5823181715239623i,1.0806889280339035E-6,0.9771585827679122-0.21251200662752645i,-6.220048416386791E-6-29.11170613875177i,9.33990162960614,-1.6074726806109264E7
81,0.069,81,0.810952864869305-0.5851114976322593i,5.9503549154052714E-8,0.9764215773626306-0.21587245531070198i,-3.38842540309817E-7-28.940630958079i,9.33990162960615,-2.919452662089517E8
81,0.07,81,0.808921679714257-0.5879166429797881i,1.1422132659873702E-6,0.9756682098859463-0.21925283857298516i,-6.4351802406758604E-6-28.77024232930427i,9.33990162960615,-1.5208875418031318E7
81,0.07100000000000001,81,0.806957082195312-0.590610274575727i,9.94271880669199E-7,0.9749317915995178-0.22250445089512605i,-5.5446769537852285E-6-28.60792419379035i,9.33990162960615,-1.7471860192889716E7
81,0.07200000000000001,81,0.8049648451716191-0.5933225702076378i,3.2259378132487894E-7,0.9741773920238679-0.2257841516793006i,-1.7806074973368385E-6-28.445748528724245i,9.339901629606144,-5.3850322984207995E7
81,0.073,81,0.8029268860743122-0.5960778205254914i,1.5309025941870006E-6,0.9733980340507259-0.2291214084488684i,-8.362671561926454E-6-28.282296721126254i,9.339901629606148,-1.1347409915664397E7
81,0.074,81,0.8008514581656532-0.5988638778415567i,4.352625145839495E-6,0.972596521051155-0.2325016332602211i,-2.3528727118678258E-5-28.11832029530192i,9.339905501374119,-3991103.9178676573
81,0.075,81,0.7988557409387993-0.6015229110330262i,1.3347106157886226E-6,0.9718177814811625-0.23573397490721465i,-7.143390307800894E-6-27.962994625072184i,9.339901629606148,-1.301539005260062E7
81,0.076,81,0.7968152912999642-0.6042220908200051i,-4.588391612835818E-6,0.9710139187172636-0.23902073789043604i,2.4310591648513354E-5-27.80649098825152i,9.339901629606146,3786028.033582089
81,0.077,81,0.794748372630442-0.6069395160531657i,2.3970685640511517E-6,0.9701929834572388-0.24233474120713383i,-1.2572410585260856E-5-27.650163269573472i,9.33990162960615,-7247093.191107214
